instrument_id,symbol,bid,ask,spread,timestamp
I010,C,53.5900,53.6496,0.0596,2024-01-15T13:54:03.476Z
I007,GS,388.8600,389.3320,0.4720,2024-01-15T12:26:01.872Z
I004,AMZN,187.4400,187.4891,0.0491,2024-01-15T13:36:11.249Z
I013,USDJPY,148.0900,148.2767,0.1867,2024-01-15T12:56:58.344Z
I001,AAPL,178.4700,178.5981,0.1281,2024-01-15T13:56:16.217Z
I006,JPM,197.1500,197.2959,0.1459,2024-01-15T14:55:34.718Z
I015,GC,2031.5700,2031.8140,0.2440,2024-01-15T11:14:20.087Z
I004,AMZN,186.8300,187.0209,0.1909,2024-01-15T11:41:14.707Z
I008,BAC,33.9500,33.9849,0.0349,2024-01-15T09:39:25.095Z
I005,TSLA,243.2500,243.5970,0.3470,2024-01-15T12:17:13.679Z
I010,C,52.8900,52.9511,0.0611,2024-01-15T12:37:44.435Z
I012,GBPUSD,1.2700,1.2710,0.0010,2024-01-15T13:37:48.277Z
I005,TSLA,243.4700,243.5508,0.0808,2024-01-15T11:15:10.323Z
I002,MSFT,408.1500,408.9226,0.7726,2024-01-15T15:46:55.189Z
I004,AMZN,184.0200,184.2093,0.1893,2024-01-15T14:51:59.778Z
I009,WFC,49.3400,49.4366,0.0966,2024-01-15T11:16:00.303Z
I004,AMZN,184.8300,184.9552,0.1252,2024-01-15T15:56:40.546Z
I003,GOOGL,140.8400,141.1167,0.2767,2024-01-15T14:32:12.299Z
I012,GBPUSD,1.2800,1.2817,0.0017,2024-01-15T13:58:05.105Z
I014,CL,71.4400,71.4864,0.0464,2024-01-15T13:51:26.451Z
I006,JPM,193.5500,193.5886,0.0386,2024-01-15T13:50:54.116Z
I014,CL,71.5500,71.6250,0.0750,2024-01-15T14:45:07.644Z
I011,EURUSD,1.0700,1.0704,0.0004,2024-01-15T14:37:23.971Z
I005,TSLA,242.2500,242.3902,0.1402,2024-01-15T14:34:46.782Z
I007,GS,386.3300,386.9471,0.6171,2024-01-15T11:33:15.794Z
I009,WFC,49.0200,49.1098,0.0898,2024-01-15T12:12:23.880Z
I010,C,53.8800,53.9161,0.0361,2024-01-15T15:09:09.061Z
I010,C,53.8300,53.8453,0.0153,2024-01-15T11:23:28.640Z
I004,AMZN,184.2900,184.3372,0.0472,2024-01-15T11:40:59.177Z
I009,WFC,48.5700,48.5752,0.0052,2024-01-15T13:36:02.705Z
I010,C,53.0500,53.0586,0.0086,2024-01-15T12:07:20.723Z
I005,TSLA,246.7900,247.0261,0.2361,2024-01-15T15:45:24.239Z
I015,GC,2030.8500,2034.1294,3.2794,2024-01-15T14:52:06.677Z
I013,USDJPY,150.1800,150.3146,0.1346,2024-01-15T14:27:24.230Z
I011,EURUSD,1.0800,1.0807,0.0007,2024-01-15T10:47:40.073Z
I001,AAPL,176.7100,176.8322,0.1222,2024-01-15T14:40:51.943Z
I005,TSLA,244.8500,245.0930,0.2430,2024-01-15T12:16:04.716Z
I007,GS,390.2100,390.6147,0.4047,2024-01-15T13:59:40.448Z
I002,MSFT,406.3900,407.1153,0.7253,2024-01-15T12:26:01.618Z
I005,TSLA,241.8100,241.9412,0.1312,2024-01-15T15:38:15.856Z
I014,CL,72.6600,72.7982,0.1382,2024-01-15T15:37:09.841Z
I005,TSLA,245.8600,246.2402,0.3802,2024-01-15T11:05:40.481Z
I009,WFC,49.4200,49.5106,0.0906,2024-01-15T11:09:07.599Z
I007,GS,386.6600,387.0583,0.3983,2024-01-15T10:19:49.481Z
I006,JPM,194.8600,194.9987,0.1387,2024-01-15T10:27:07.878Z
